x y z n.x n.y n.z
0.03125 0.496788 0.171875 -0.0475549 -0.998652 -0.0208052
0.015625 0.497532 0.171875 -0.0475549 -0.998652 -0.0208052
0.015625 0.497545 0.171875 -0.0475528 -0.998609 -0.0227857
0.03125 0.496801 0.171875 -0.0475528 -0.998609 -0.0227857
0.03125 0.496444 0.1875 -0.0475528 -0.998609 -0.0227857
0.015625 0.497188 0.1875 -0.0475528 -0.998609 -0.0227857
0.03125 0.497585 0.125 -0.0791051 -0.996725 -0.0168098
0.046875 0.496345 0.125 -0.0791051 -0.996725 -0.0168098
0.046875 0.496082 0.140625 -0.0791051 -0.996725 -0.0168098
0.03125 0.497322 0.140625 -0.0791051 -0.996725 -0.0168098
0.03125 0.497338 0.140625 -0.0791023 -0.996689 -0.0187868
0.046875 0.496098 0.140625 -0.0791023 -0.996689 -0.0187868
0.046875 0.495803 0.15625 -0.0791023 -0.996689 -0.0187868
0.03125 0.497043 0.15625 -0.0791023 -0.996689 -0.0187868
0.046875 0.496389 0.125 -0.110416 -0.993744 -0.0167596
0.0625 0.494653 0.125 -0.110416 -0.993744 -0.0167596
0.0625 0.494389 0.140625 -0.110416 -0.993744 -0.0167596
0.046875 0.496125 0.140625 -0.110416 -0.993744 -0.0167596
0.046875 0.49615 0.140625 -0.110412 -0.993709 -0.0187306
0.0625 0.494414 0.140625 -0.110412 -0.993709 -0.0187306
0.0625 0.49412 0.15625 -0.110412 -0.993709 -0.0187306
0.046875 0.495856 0.15625 -0.110412 -0.993709 -0.0187306
0.03125 0.497063 0.15625 -0.0790992 -0.99665 -0.0207636
0.046875 0.495823 0.15625 -0.0790992 -0.99665 -0.0207636
0.046875 0.495497 0.171875 -0.0790992 -0.99665 -0.0207636
0.03125 0.496737 0.171875 -0.0790992 -0.99665 -0.0207636
0.03125 0.496761 0.171875 -0.0790958 -0.996608 -0.0227401
0.046875 0.495521 0.171875 -0.0790958 -0.996608 -0.0227401
0.046875 0.495164 0.1875 -0.0790958 -0.996608 -0.0227401
0.03125 0.496404 0.1875 -0.0790958 -0.996608 -0.0227401
0.046875 0.495885 0.15625 -0.110408 -0.993671 -0.0207015
0.0625 0.494149 0.15625 -0.110408 -0.993671 -0.0207015
0.0625 0.493823 0.171875 -0.110408 -0.993671 -0.0207015
0.046875 0.495559 0.171875 -0.110408 -0.993671 -0.0207015
0.046875 0.495593 0.171875 -0.110403 -0.993628 -0.0226721
0.0625 0.493857 0.171875 -0.110403 -0.993628 -0.0226721
0.0625 0.493501 0.1875 -0.110403 -0.993628 -0.0226721
0.046875 0.495237 0.1875 -0.110403 -0.993628 -0.0226721
0 0.497564 0.1875 -0.0158661 -0.999567 -0.0247908
0.015625 0.497316 0.1875 -0.0158661 -0.999567 -0.0247908
0.015625 0.496929 0.203125 -0.0158661 -0.999567 -0.0247908
0 0.497177 0.203125 -0.0158661 -0.999567 -0.0247908
0 0.497184 0.203125 -0.0158653 -0.999516 -0.0267727
0.015625 0.496936 0.203125 -0.0158653 -0.999516 -0.0267727
0.015625 0.496517 0.21875 -0.0158653 -0.999516 -0.0267727
0 0.496765 0.21875 -0.0158653 -0.999516 -0.0267727
0.015625 0.497204 0.1875 -0.0475506 -0.998562 -0.0247659
0.03125 0.49646 0.1875 -0.0475506 -0.998562 -0.0247659
